1,7,69
2,10,130
3,20,1000
4,6,85
5,11,190
6,17,905
7,5,90
8,10,225
9,16,855
10,3,29
11,7,99
12,11,320
13,3,32
14,6,100
15,10,295
16,3,18
17,11,300
18,15,395
19,3,35
20,7,185
21,3,20
22,12,380
23,20,69
24,35,650
25,4,60
26,8,300
27,6,120
28,10,295
29,4,70
30,8,200
31,13,600
32,5,90
33,9,195
34,14,620
35,6,75
36,13,400
37,6,99
38,11,199
39,5,55
40,10,120
41,8,75
42,16,550
43,5,54
44,8,86
45,12,186
46,3,54
47,10,295
48,10,300
49,15,125
50,2,8
51,7,333
52,4,42
53,10,320
54,8,196
55,17,766
56,5,280
57,10,320
58,7,190
59,19,1550
60,6,124
61,10,200
62,13,540
63,9,195
64,13,565
65,15,480
66,8,195
67,15,705
68,16,1300
69,7,40
70,10,64
71,17,155
72,9,455
73,16,550
74,4,200
75,10,1050
76,14,3000
77,10,300
78,17,950
79,12,360
80,16,785
81,3,60
82,10,600
83,8,150
84,14,392
85,18,852
86,11,900
87,17,1200
88,9,300
89,12,300
90,3,40
91,15,1325
92,13,1
93,16,1
94,15,405
95,88,2100
96,10,324
97,16,756
98,4,65
99,13,600
100,5,104
101,12,666
102,4,25
103,20,1200
104,4,65
105,10,450
106,15,498
107,14,502
108,12,655
109,6,10
110,12,95
111,10,1150
112,19,1200
113,11,346
114,10,350
115,22,800
116,4,80
117,12,250
118,6,150
119,13,390
120,8,345
121,11,800
122,13,545
123,15,560
124,14,406
125,11,300
126,13,445
127,15,550
128,14,884
129,9,100
130,65,2350
131,25,2200
132,3,40
133,3,65
134,10,290
135,8,245
136,9,250
137,8,365
138,4,75
139,10,350
140,5,115
141,13,405
142,18,590
143,21,4600
144,17,554
145,16,526
146,20,600
147,18,33
148,40,165
149,22,2100
150,20,1220
151,4,40
152,9,64
153,12,158
154,18,1005
155,5,79
156,9,190
157,17,795
158,6,95
159,11,250
160,23,888
161,8,60
162,18,325
163,7,212
164,16,408
165,10,108
166,14,356
167,5,85
168,11,335
169,18,750
170,5,120
171,12,225
172,3,20
173,3,30
174,3,10
175,3,15
176,6,32
177,2,20
178,15,150
179,6,78
180,8,133
181,14,615
182,4,58
183,4,85
184,8,285
185,12,380
186,11,339
187,4,5
188,6,10
189,8,30
190,8,115
191,3,18
192,8,85
193,12,380
194,4,85
195,14,750
196,9,265
197,10,270
198,5,21
199,20,795
200,7,10
201,5,50
202,13,285
203,15,415
204,6,72
205,12,1258
206,15,140
207,11,648
208,92,4000
209,6,78
210,14,487
211,5,39
212,18,1180
213,6,205
214,15,540
215,9,280
216,6,88
217,18,1258
218,7,350
219,8,550
220,4,65
221,11,558
222,6,50
223,6,120
224,9,285
225,9,160
226,21,2200
227,17,505
228,6,108
229,14,350
230,18,1520
231,5,335
232,11,1200
233,6,325
234,14,712
235,12,580
236,7,210
237,14,480
238,4,60
239,6,235
240,7,214
241,12,755
242,15,468
243,19,1780
244,21,1980
245,20,1870
246,6,720
247,12,1520
248,20,2020
249,52,2160
250,38,1990
251,6,50
